Symbol,Name
NVDA,Nvidia
AAPL,Apple Inc.
MSFT,Microsoft
AMZN,Amazon
GOOGL,Alphabet Inc. (Class A)
AVGO,Broadcom Inc.
GOOG,Alphabet Inc. (Class C)
META,Meta Platforms
TSLA,"Tesla, Inc."
NFLX,Netflix
ASML,ASML Holding
COST,Costco
PLTR,Palantir Technologies
AMD,Advanced Micro Devices Inc.
CSCO,Cisco
AZN,AstraZeneca
MU,Micron Technology
TMUS,T-Mobile US
SHOP,Shopify
ISRG,Intuitive Surgical
PEP,PepsiCo
AMAT,Applied Materials
APP,Applovin Corp
LRCX,Lam Research
LIN,Linde plc
AMGN,Amgen
QCOM,Qualcomm
INTC,Intel
INTU,Intuit
PDD,PDD Holdings
BKNG,Booking Holdings
GILD,Gilead Sciences
KLAC,KLA Corporation
TXN,Texas Instruments
ARM,Arm Holdings
ADBE,Adobe Inc.
PANW,Palo Alto Networks
ADI,Analog Devices
CRWD,CrowdStrike
HON,Honeywell
CEG,Constellation Energy
VRTX,Vertex Pharmaceuticals
ADP,ADP
MELI,MercadoLibre
SBUX,Starbucks
CMCSA,Comcast
ORLY,O'Reilly Automotive
DASH,DoorDash
CDNS,Cadence Design Systems
REGN,Regeneron Pharmaceuticals
MAR,Marriott International
SNPS,Synopsys
MRVL,Marvell Technology
CTAS,Cintas
MDLZ,Mondelez International
MNST,Monster Beverage
ABNB,Airbnb
CSX,CSX Corporation
AEP,American Electric Power
ADSK,Autodesk
IDXX,Idexx Laboratories
FTNT,Fortinet
TRI,Thomson Reuters Corporation
WBD,Warner Bros. Discovery
PYPL,PayPal
ROST,Ross Stores
WDAY,"Workday, Inc."
DDOG,Datadog
PCAR,Paccar
MSTR,MicroStrategy Inc.
EA,Electronic Arts
NXPI,NXP Semiconductors
BKR,Baker Hughes
XEL,Xcel Energy
ROP,Roper Technologies
EXC,Exelon
FAST,Fastenal
TTWO,Take-Two Interactive
FANG,Diamondback Energy
AXON,Axon Enterprise Inc.
CCEP,Coca-Cola Europacific Partners
PAYX,Paychex
ZS,Zscaler
TEAM,Atlassian
CPRT,Copart
KDP,Keurig Dr Pepper
CTSH,Cognizant
GEHC,GE HealthCare
VRSK,Verisk
KHC,Kraft Heinz
CSGP,CoStar Group
MCHP,Microchip Technology
ODFL,Old Dominion Freight Line
BIIB,Biogen
CHTR,Charter Communications
DXCM,DexCom
LULU,Lululemon Athletica
ON,Onsemi
GFS,GlobalFoundries
TTD,Trade Desk (The)
CDW,CDW Corporation
